,Strategy,EW,SPY
AnnRet,0.2860270393932372,0.16129001524437983,0.18743700310126682
AnnVol,0.17958624886658248,0.1734675722086242,0.20981618812797329
Sharpe,1.5927001159522594,0.9297992310078637,0.8933390925343819
Cumulative,0.24665140243858485,0.12692361479793246,0.14498996815971754
MaxDD,-0.14762601320762359,-0.14493253108560422,-0.18755238565161514
